iter	F1	Logloss	Accuracy	Precision	Recall
69	0.4592145015	0.5487208943	0.77625	0.8351648352	0.3166666667
70	0.4698795181	0.5471078408	0.78	0.847826087	0.325
71	0.4761904762	0.5460769843	0.78	0.8333333333	0.3333333333
72	0.4702380952	0.5441286429	0.7775	0.8229166667	0.3291666667
73	0.4747774481	0.5430358626	0.77875	0.824742268	0.3333333333
74	0.4776119403	0.5421681113	0.78125	0.8421052632	0.3333333333
75	0.4835820896	0.5408799626	0.78375	0.8526315789	0.3375
76	0.4835820896	0.5402428196	0.78375	0.8526315789	0.3375
77	0.4744744745	0.5395412249	0.78125	0.8494623656	0.3291666667
78	0.4744744745	0.5381444437	0.78125	0.8494623656	0.3291666667
79	0.4744744745	0.5373891107	0.78125	0.8494623656	0.3291666667
80	0.4712990937	0.5371580487	0.78125	0.8571428571	0.325
81	0.4680851064	0.5367179619	0.78125	0.8651685393	0.3208333333
82	0.4680851064	0.5356365014	0.78125	0.8651685393	0.3208333333
83	0.4741641337	0.5346351928	0.78375	0.8764044944	0.325
84	0.4741641337	0.533535707	0.78375	0.8764044944	0.325
85	0.4759036145	0.5321138723	0.7825	0.8586956522	0.3291666667
86	0.4666666667	0.5315304246	0.78	0.8555555556	0.3208333333
87	0.4727272727	0.530761541	0.7825	0.8666666667	0.325
88	0.4819277108	0.529649847	0.785	0.8695652174	0.3333333333
89	0.4864864865	0.5287677797	0.78625	0.8709677419	0.3375
90	0.4864864865	0.5280461036	0.78625	0.8709677419	0.3375
91	0.4925816024	0.5265158583	0.78625	0.8556701031	0.3458333333
92	0.4955223881	0.5250543327	0.78875	0.8736842105	0.3458333333
93	0.4910179641	0.5248446427	0.7875	0.8723404255	0.3416666667
94	0.5	0.5240548435	0.79	0.875	0.35
